Model,Epochs,Test_Loss,Test_Acuracia,Test_Precisao,Test_Recall,Test_F1-Score,Best_Acc_Train,Best_Epoch_Acc,Num_Samples,Dropout,Resolution,Data Normalization
ResNet18,100,0.8977167010307312,0.5238095238095238,0.5,0.5238095238095238,0.5073232323232324,0.7222222222222222,18,216,0.35,224,Yes
ResNet18,100,0.7490933537483215,0.75,0.7058823529411765,0.75,0.7494949494949495,0.7906976744186046,18,216,0.35,224,Yes
ResNet18,100,0.7987213134765625,0.625,0.5789473684210527,0.625,0.6278244631185808,0.7922817468643188,66,216,0.35,224,Yes
ResNet18,100,0.8534141182899475,0.45454545454545453,0.4642857142857143,0.4650735294117647,0.3801652892561984,0.3700810968875885,63,860,0.35,224,Yes
ResNet18,100,0.7638348937034607,0.6363636363636364,0.5714285714285714,0.6470588235294118,0.5867768595041323,0.17337030172348022,5,860,0.35,224,Yes
ResNet185unfrozen,100,0.5506432179997607,0.7843894899536321,0.7869249394673123,0.7834815191719903,0.7844743655183339,43.933020263910294,25,13000,0.35,224,Yes
