Model,Epochs,Test_Loss,Test_Acuracia,Test_Precisao,Test_Recall,Test_F1-Score,Best_Acc_Train,Best_Epoch_Acc,Num_Samples,Dropout,Resolution,Data Normalization
MobileNetV2,100,0.47745656167588585,0.8238021638330757,0.7750556792873051,0.8222813878137246,0.82366060554355,35.50569652020931,42,13000,0.35,224,Yes
MobileNetV25unfrozen,100,0.30945507709572956,0.893353941267388,0.8692660550458715,0.8924037280980439,0.8932230985632024,19.733891680836678,41,13000,0.35,224,Yes
MobileNetV25unfrozen,100,0.3282061139257943,0.8894899536321483,0.8691588785046729,0.8886225549565484,0.8893999836925288,21.060188222676516,29,13000,0.35,224,Yes
