Model,Epochs,Test_Loss,Test_Acuracia,Test_Precisao,Test_Recall,Test_F1-Score,Best_Acc_Train,Best_Epoch_Acc,Num_Samples,Dropout,Resolution,Data Normalization
ConvNext-Nano,60,0.9352911114692688,0.5714285714285714,1.0,0.5714285714285715,0.5555555555555556,0.7222222222222222,9,216,0.35,224,Yes
ConvNext-Nano,60,0.8270728588104248,0.6190476190476191,0.75,0.619047619047619,0.6075884899414311,0.7222222222222222,10,216,0.35,224,Yes
ConvNext-Nano,100,0.8560600280761719,0.5833333333333334,0.5,0.5833333333333334,0.578042328042328,0.7674418604651163,11,216,0.35,224,Yes
ConvNext-Nano,100,0.6550686955451965,0.6875,0.5217391304347826,0.6875,0.6898263027295286,0.7441860465116279,25,216,0.35,224,Yes
ConvNext-Nano,100,0.6551106572151184,0.6875,0.5217391304347826,0.6875,0.6898263027295286,0.9069767441860465,25,216,0.35,224,Yes
ConvNext-Nano,100,0.5623149871826172,0.75,0.6086956521739131,0.75,0.7532735463769947,0.42770564556121826,100,216,0.35,224,Yes
